"File Names",Article,References,Reviewer,Category,"String Cite"
"Science 30","P. See, C. A. Dutertre, J. M. Chen, P. Gunther, N. McGovern, S. E. Irac, M. Gunawan, M. Beyer, K. Handler, K. Duan, H. R. Bin Sumatoh, N. Ruffin, M. Jouve, E. Gea-Mallorqui, R. C. M. Hennekam, T. Lim, C. C. Yip, M. Wen, B. Malleret, I. Low, N. B. Shadan, C. F. S. Fen, A. Tay, J. Lum, F. Zolezzi, A. Larbi, M. Poidinger, J. K. Y. Chan, Q. F. Chen, L. Renia, M. Haniffa, P. Benaroch, A. Schlitzer, J. L. Schultze, E. W. Newell and F. Ginhoux	2017	Mapping the human DC lineage through the integration of high-dimensional techniques		Science			356		6342						Jun			Mapping the human DC lineage through the integration of high-dimensional techniques		0036-8075										eaag3009		WOS:000402871700045					Times Cited: 100","     Reizis B, 2011, ANNU REV IMMUNOL, V29, P163, DOI 10.1146/annurev-immunol-031210-101345",Neal,"Partially Substantiated",No
"Science 31","Z. W. Seh, J. Kibsgaard, C. F. Dickens, I. B. Chorkendorff, J. K. Norskov and T. F. Jaramillo	2017	Combining theory and experiment in electrocatalysis: Insights into materials design		Science			355		6321						Jan			Combining theory and experiment in electrocatalysis: Insights into materials design		0036-8075										eaad4998		WOS:000391743700032					Times Cited: 998","     Fellinger TP, 2012, J AM CHEM SOC, V134, P4072, DOI 10.1021/ja300038p",Aaron,"Fully Substantiated",No
"Science 32","Z. W. Seh, J. Kibsgaard, C. F. Dickens, I. B. Chorkendorff, J. K. Norskov and T. F. Jaramillo	2017	Combining theory and experiment in electrocatalysis: Insights into materials design		Science			355		6321						Jan			Combining theory and experiment in electrocatalysis: Insights into materials design		0036-8075										eaad4998		WOS:000391743700032					Times Cited: 998","     Wang DL, 2012, NANO LETT, V12, P5230, DOI 10.1021/nl302404g",Neal,"Fully Substantiated",Yes
"Science 33","H. Z. Shen, Q. Zhou, X. J. Pan, Z. Q. Li, J. P. Wu and N. Yan	2017	Structure of a eukaryotic voltage-gated sodium channel at near-atomic resolution		Science			355		6328						Mar			Structure of a eukaryotic voltage-gated sodium channel at near-atomic resolution		0036-8075										eaal4326		WOS:000395181700032					Times Cited: 105","     Pavlov E, 2005, BIOPHYS J, V89, P232, DOI 10.1529/biophysj.104.056994",Aaron,"Fully Substantiated",Yes
"Science 34","S. S. Shin, E. J. Yeom, W. S. Yang, S. Hur, M. G. Kim, J. Im, J. Seo, J. H. Noh and S. I. Seok	2017	Colloidally prepared La-doped BaSnO3 electrodes for efficient, photostable perovskite solar cells		Science			356		6334	167-171					Apr			Colloidally prepared La-doped BaSnO3 electrodes for efficient, photostable perovskite solar cells		0036-8075												WOS:000399013800031					Times Cited: 410","     Sladkevich S, 2009, J SOL-GEL SCI TECHN, V50, P229, DOI 10.1007/s10971-008-1800-6",Neal,"Fully Substantiated",No
"Science 35","S. S. Shin, E. J. Yeom, W. S. Yang, S. Hur, M. G. Kim, J. Im, J. Seo, J. H. Noh and S. I. Seok	2017	Colloidally prepared La-doped BaSnO3 electrodes for efficient, photostable perovskite solar cells		Science			356		6334	167-171					Apr			Colloidally prepared La-doped BaSnO3 electrodes for efficient, photostable perovskite solar cells		0036-8075												WOS:000399013800031					Times Cited: 410","     Son DY, 2014, J PHYS CHEM C, V118, P16567, DOI 10.1021/jp412407j",Aaron,"Fully Substantiated",Yes
"Science 36","V. L. Sushkevich, D. Palagin, M. Ranocchiari and J. A. van Bokhoven	2017	Selective anaerobic oxidation of methane enables direct synthesis of methanol		Science			356		6337	523-+					May			Selective anaerobic oxidation of methane enables direct synthesis of methanol		0036-8075												WOS:000400545700034					Times Cited: 98","     Guo XG, 2014, SCIENCE, V344, P616, DOI 10.1126/science.1253150",Neal,"Fully Substantiated",Yes
"Science 37","A. S. Venteicher, I. Tirosh, C. Hebert, K. Yizhak, C. Neftel, M. G. Filbin, V. Hovestadt, L. E. Escalante, M. L. Shaw, C. Rodman, S. M. Gillespie, D. Dionne, C. C. Luo, H. Ravichandran, R. Mylvaganam, C. Mount, M. L. Onozato, B. V. Nahed, H. Wakimoto, W. T. Curry, A. J. Iafrate, M. N. Rivera, M. P. Frosch, T. R. Golub, P. K. Brastianos, G. Getz, A. P. Patel, M. Monje, D. P. Cahill, O. Rozenblatt-Rosen, D. N. Louis, B. E. Bernstein, A. Regev and M. L. Suva	2017	Decoupling genetics, lineages, and microenvironment in IDH-mutant gliomas by single-cell RNA-seq		Science			355		6332						Mar			Decoupling genetics, lineages, and microenvironment in IDH-mutant gliomas by single-cell RNA-seq		0036-8075										eaai8478		WOS:000397809500034					Times Cited: 110","     Tseliou M, 2016, CELL PHYSIOL BIOCHEM, V38, P94, DOI 10.1159/000438612",Aaron,"Fully Substantiated",Yes
"Science 38","J. Xu, S. H. Wang, G. J. N. Wang, C. X. Zhu, S. C. Luo, L. H. Jin, X. D. Gu, S. C. Chen, V. R. Feig, J. W. F. To, S. Rondeau-Gagne, J. Park, B. C. Schroeder, C. Lu, J. Y. Oh, Y. M. Wang, Y. H. Kim, H. Yan, R. Sinclair, D. S. Zhou, G. Xue, B. Murmann, C. Linder, W. Cai, J. B. H. Tok, J. W. Chung and Z. N. Bao	2017	Highly stretchable polymer semiconductor films through the nanoconfinement effect		Science			355		6320	59-+					Jan			Highly stretchable polymer semiconductor films through the nanoconfinement effect		0036-8075												WOS:000391739900042					Times Cited: 193","     Forrest JA, 1997, PHYS REV E, V56, P5705, DOI 10.1103/PhysRevE.56.5705",Neal,"Fully Substantiated",Yes
"Science 39","J. Xu, S. H. Wang, G. J. N. Wang, C. X. Zhu, S. C. Luo, L. H. Jin, X. D. Gu, S. C. Chen, V. R. Feig, J. W. F. To, S. Rondeau-Gagne, J. Park, B. C. Schroeder, C. Lu, J. Y. Oh, Y. M. Wang, Y. H. Kim, H. Yan, R. Sinclair, D. S. Zhou, G. Xue, B. Murmann, C. Linder, W. Cai, J. B. H. Tok, J. W. Chung and Z. N. Bao	2017	Highly stretchable polymer semiconductor films through the nanoconfinement effect		Science			355		6320	59-+					Jan			Highly stretchable polymer semiconductor films through the nanoconfinement effect		0036-8075												WOS:000391739900042					Times Cited: 193","     Wang SH, 2015, P NATL ACAD SCI USA, V112, P10599, DOI 10.1073/pnas.1501381112",Aaron,"Fully Substantiated",No
"Science 40","J. Yin, Y. Cao, Y. H. Li, S. K. Liao, L. Zhang, J. G. Ren, W. Q. Cai, W. Y. Liu, B. Li, H. Dai, G. B. Li, Q. M. Lu, Y. H. Gong, Y. Xu, S. L. Li, F. Z. Li, Y. Y. Yin, Z. Q. Jiang, M. Li, J. J. Jia, G. Ren, D. He, Y. L. Zhou, X. X. Zhang, N. Wang, X. Chang, Z. C. Zhu, N. L. Liu, Y. A. Chen, C. Y. Lu, R. Shu, C. Z. Peng, J. Y. Wang and J. W. Pan	2017	Satellite-based entanglement distribution over 1200 kilometers		Science			356		6343	1180-1184					Jun			Satellite-based entanglement distribution over 1200 kilometers		0036-8075												WOS:000403327400029					Times Cited: 157","     WOOTTERS WK, 1982, NATURE, V299, P802, DOI 10.1038/299802a0",Neal,"Fully Substantiated",No
"Science 41","Y. M. Yin, E. Morgunova, A. Jolma, E. Kaasinen, B. Sahu, S. Khund-Sayeed, P. K. Das, T. Kivioja, K. Dave, F. Zhong, K. R. Nitta, M. Taipale, A. Popov, P. A. Ginno, S. Domcke, J. Yan, D. Schubeler, C. Vinson and J. Taipale	2017	Impact of cytosine methylation on DNA binding specificities of human transcription factors		Science			356		6337						May			Impact of cytosine methylation on DNA binding specificities of human transcription factors		0036-8075										eaaj2239		WOS:000400545700029					Times Cited: 129","     Vaquerizas JM, 2009, NAT REV GENET, V10, P252, DOI 10.1038/nrg2538",Aaron,"Partially Substantiated",No
"Science 42","Y. M. Yin, E. Morgunova, A. Jolma, E. Kaasinen, B. Sahu, S. Khund-Sayeed, P. K. Das, T. Kivioja, K. Dave, F. Zhong, K. R. Nitta, M. Taipale, A. Popov, P. A. Ginno, S. Domcke, J. Yan, D. Schubeler, C. Vinson and J. Taipale	2017	Impact of cytosine methylation on DNA binding specificities of human transcription factors		Science			356		6337						May			Impact of cytosine methylation on DNA binding specificities of human transcription factors		0036-8075										eaaj2239		WOS:000400545700029					Times Cited: 129","     Yan J, 2013, CELL, V154, P801, DOI 10.1016/j.cell.2013.07.034",Neal,"Fully Substantiated",Yes
"Science 43","Y. M. You, W. Q. Liao, D. W. Zhao, H. Y. Ye, Y. Zhang, Q. H. Zhou, X. H. Niu, J. L. Wang, P. F. Li, D. W. Fu, Z. M. Wang, S. Gao, K. L. Yang, J. M. Liu, J. Y. Li, Y. F. Yan and R. G. Xiong	2017	An organic-inorganic perovskite ferroelectric with large piezoelectric response (vol 357, pg 306, 2017)		Science			357		6348	306-309					Jul			An organic-inorganic perovskite ferroelectric with large piezoelectric response (vol 357, pg 306, 2017)		0036-8075												WOS:000405901600042					Times Cited: 160","     Bonnell DA, 2009, MRS BULL, V34, P648, DOI 10.1557/mrs2009.176",Aaron,"Fully Substantiated",Yes
"Science 44","Y. M. You, W. Q. Liao, D. W. Zhao, H. Y. Ye, Y. Zhang, Q. H. Zhou, X. H. Niu, J. L. Wang, P. F. Li, D. W. Fu, Z. M. Wang, S. Gao, K. L. Yang, J. M. Liu, J. Y. Li, Y. F. Yan and R. G. Xiong	2017	An organic-inorganic perovskite ferroelectric with large piezoelectric response (vol 357, pg 306, 2017)		Science			357		6348	306-309					Jul			An organic-inorganic perovskite ferroelectric with large piezoelectric response (vol 357, pg 306, 2017)		0036-8075												WOS:000405901600042					Times Cited: 160","     Fu DW, 2013, SCIENCE, V339, P425, DOI [10.1126/science.1230473, 10.1126/science.1229675]",Neal,"Fully Substantiated",Yes
"Science 45","Y. Zhai, Y. G. Ma, S. N. David, D. L. Zhao, R. N. Lou, G. Tan, R. G. Yang and X. B. Yin	2017	Scalable-manufactured randomized glass-polymer hybrid metamaterial for daytime radiative cooling		Science			355		6329						Mar			Scalable-manufactured randomized glass-polymer hybrid metamaterial for daytime radiative cooling		0036-8075												WOS:000396348900041					Times Cited: 151","     Rasberry RD, 2011, J MATER CHEM, V21, P13902, DOI 10.1039/c1jm12761f",Aaron,Unsubstantiated,Yes
"Science 46","Y. S. Zhang and A. Khademhosseini	2017	Advances in engineering hydrogels		Science			356		6337						May			Advances in engineering hydrogels		0036-8075										eaaf3627		WOS:000400545700027					Times Cited: 240","     Delebecque CJ, 2011, SCIENCE, V333, P470, DOI 10.1126/science.1206938",Neal,"Fully Substantiated",Yes
"Science 47","Y. S. Zhang and A. Khademhosseini	2017	Advances in engineering hydrogels		Science			356		6337						May			Advances in engineering hydrogels		0036-8075										eaaf3627		WOS:000400545700027					Times Cited: 256","     Gonzalez MA, 2017, ADV MATER, V29, DOI 10.1002/adma.201604743",Aaron,"Fully Substantiated",Yes
"Science 48","Y. S. Zhang and A. Khademhosseini	2017	Advances in engineering hydrogels		Science			356		6337						May			Advances in engineering hydrogels		0036-8075										eaaf3627		WOS:000400545700027					Times Cited: 299","     Morton SW, 2013, ADV MATER, V25, P4707, DOI 10.1002/adma.201302025",Neal,"Fully Substantiated",Yes
"Science 49","Y. S. Zhang and A. Khademhosseini	2017	Advances in engineering hydrogels		Science			356		6337						May			Advances in engineering hydrogels		0036-8075										eaaf3627		WOS:000400545700027					Times Cited: 319","     Saladin K. S., 1998, ANATOMY PHYSL",Aaron,"Fully Substantiated",Yes
"Science 50","Z. W. Zhang, P. Chen, X. D. Duan, K. T. Zang, J. Luo and X. F. Duan	2017	Robust epitaxial growth of two-dimensional heterostructures, multiheterostructures, and superlattices		Science			357		6353	788-+					Aug			Robust epitaxial growth of two-dimensional heterostructures, multiheterostructures, and superlattices		0036-8075												WOS:000408327900040					Times Cited: 112","     Zhao WJ, 2013, NANOSCALE, V5, P9677, DOI 10.1039/c3nr03052k",Neal,"Fully Substantiated",Yes
"Science Advances 01","P. Bongaerts, C. Riginos, R. Brunner, N. Englebert, S. R. Smith and O. Hoegh-Guldberg	2017	Deep reefs are not universal refuges: Reseeding potential varies among coral species		Science Advances			3		2						Feb			Deep reefs are not universal refuges: Reseeding potential varies among coral species		2375-2548										e1602373		WOS:000397039500024					Times Cited: 44","     Underwood JN, 2007, MOL ECOL, V16, P771, DOI 10.1111/1365-294X.2006.03187.x",Aaron,"Fully Substantiated",Yes
